UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
451592,"A",,"A",,"A",,"R",1,"Z",0,"R",1,"R",1,"R",100,"R",3,"Z",0,"R",3,"R",0,"R",0,"R",4
451617,"A",,"A",,"A",,"R",9,"Z",0,"R",9,"R",6,"R",67,"R",2,"R",0,"R",2,"R",0,"R",0,"R",9
451626,"A",,"A",,"A",,"R",26,"R",0,"R",26,"R",19,"R",73,"R",9,"R",0,"R",9,"R",5,"R",56,"R",11
451635,"A",,"A",,"A",,"R",25,"R",0,"R",25,"R",21,"R",84,"A",,"A",,"A",,"A",,"A",,"R",10
451644,"A",,"A",,"A",,"R",7,"R",0,"R",7,"R",5,"R",71,"A",,"A",,"A",,"A",,"A",,"R",20
451653,"A",,"A",,"A",,"R",18,"R",0,"R",18,"R",16,"R",89,"A",,"A",,"A",,"A",,"A",,"R",8
451662,"A",,"A",,"A",,"R",51,"R",1,"R",50,"R",16,"R",32,"R",633,"R",2,"R",631,"R",156,"R",25,"R",11
451671,"R",80,"R",534,"R",15,"R",0,"R",0,"R",0,"Z",0,"A",,"R",0,"R",0,"R",0,"Z",0,"A",,"R",13
451699,"R",114,"R",280,"R",41,"R",7,"Z",0,"R",7,"R",1,"R",14,"A",,"A",,"A",,"A",,"A",,"R",12
451705,"A",,"A",,"A",,"R",5,"R",0,"R",5,"R",3,"R",60,"A",,"A",,"A",,"A",,"A",,"R",14
451714,"A",,"A",,"A",,"R",48,"R",0,"R",48,"R",39,"R",81,"A",,"A",,"A",,"A",,"A",,"R",17
451741,"R",121,"R",283,"R",43,"R",7,"R",0,"R",7,"R",1,"R",14,"A",,"A",,"A",,"A",,"A",,"R",29
451750,"R",46,"R",201,"R",23,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
